track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,streams,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
57kqyESt7sfljPxFohKPR4,I'll Never Go,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,1ZVbmjB35arVTLoiFPAxQl,265053,2008-11-03,60,0.444,0.327,11.0,0.5244487521201843,1.0,0.0334,0.684,0.0,0.0839,0.24,0.5800659128803668,10691916.0,0,opm acoustic,0.5858857281981323,0.5858857281981323,0.02885016003137219,0.119016096373154,0.04144308490043578,0.008306934244885295,0.2164979962520207
46ixegtxjERQMCutmp09Sa,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",1mcqfNCReSFxun2vIWvC28,KZ Tandingan,3aOj64v2njmsuCiIZmoN7X,280109,2017-07-14,0,0.37,0.434,6.0,0.7827477586624669,1.0,0.0311,0.774,1.58e-06,0.0993,0.201,0.5816290641934139,28560533.0,0,opm acoustic,0.5851436030250018,0.5851436030250018,0.03989831948373483,0.1073652780492678,0.05018227800979454,0.0093941865374024,0.20801633489479843
3pO8AS9mXlI85OsHbJa4Jf,SUNRISE,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,0jaGLy6bI1pjrc2gbkyxbJ,213674,2018-06-29,49,0.544,0.61,8.0,0.6641143687908895,1.0,0.0635,0.246,3.62e-06,0.0869,0.447,0.49064063151313053,472082.0,5,opm rock,0.5836809186675761,0.08424118461710069,0.017600712311548687,0.11157559434515267,0.1592025962728468,0.04369899378577507,0.5836809186675761
27Yn7MnLRP7YDnA11fRyl5,Extensyon,0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,3fohbkMVPOLRdarrknL7QB,242790,2017-10-06,29,0.649,0.849,8.0,0.8263145141749457,1.0,0.045,0.184,0.0,0.0517,0.908,0.7911434451854941,19036.0,5,opm rock,0.583141819261823,0.022164239335797874,0.16336476487738785,0.0353094191095783,0.04097166398329151,0.1550480934321214,0.583141819261823
1wv76JKLy8fgpIa4n6JuMa,This Time (Original Movie Soundtrack),24fEOzlKhgSNLIcy9NdmwH,James Reid,3QfF6wHIC96HGQ4RzbvEKN,294208,2016-04-25,0,0.552,0.491,7.0,0.6935304094984251,1.0,0.0306,0.687,0.0,0.139,0.222,0.49191069195498116,133343.0,0,opm acoustic,0.5827789604502098,0.5827789604502098,0.027684083313512173,0.12258018217257018,0.0534199408742734,0.023510391085996434,0.1900264421034377
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,4nQxblVnnFPehg9ujzdJ8L,318814,2017-06-23,70,0.491,0.314,10.0,0.6545674824327601,1.0,0.0301,0.776,4.76e-06,0.152,0.295,0.4974924447686536,174261509.0,0,opm acoustic,0.5825324552846446,0.5825324552846446,0.03179249159691719,0.1520414106859217,0.0361790557390503,0.01041227795203599,0.18704230874143046
4A2rEYOoZy3PQwfP7o0ryc,Jules,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,0VF88sHKjbSWtm1wFHTSAg,262906,2018-08-13,0,0.617,0.273,4.0,0.5244487521201843,1.0,0.0294,0.86,0.0,0.148,0.283,0.3872772509378908,22042.0,0,opm acoustic,0.5819627968909351,0.5819627968909351,0.02856846416502234,0.1958019659328122,0.037708295736245484,0.019823155011146794,0.13613532226383834
1EEsKj8lQKZwaFXJ5GFsdk,War,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,7xCcuTA3abKwxj8HwgxP7R,228004,2019-05-12,51,0.652,0.266,7.0,0.5153380179307004,1.0,0.0264,0.874,0.00523,0.0974,0.28,0.27651495414756144,40905.0,0,opm acoustic,0.5811096321913841,0.5811096321913841,0.028638589269113484,0.19217984214329564,0.03699430415520874,0.02334493346171678,0.13773269877928127
7vWHppvllFJXdXf0xplZum,Your Universe,6l880dxsvN2x5wiceaG6D0,Rico Blanco,2IlKvs2GxtFMFEIIunQCXU,238466,2008-05-15,59,0.445,0.573,7.0,0.7161618609159197,1.0,0.0343,0.638,6.69e-06,0.114,0.503,0.8170526781992499,62345.0,5,opm rock,0.5803301680433117,0.13159891641571156,0.042867288091150514,0.16365559555696307,0.04058759351017115,0.04096043838269187,0.5803301680433117
4isDU5tDNqFLQ5xQ9NgPmz,"Till My Heartaches End - From ""The Significant Other""",1mcqfNCReSFxun2vIWvC28,KZ Tandingan,6Mt2ypZ8Q48fAdqiVkw1kH,256923,2018-03-02,60,0.497,0.375,4.0,0.7608916888781199,1.0,0.0328,0.845,0.0,0.265,0.214,0.5190183409754064,21554232.0,0,opm acoustic,0.5800493415956132,0.5800493415956132,0.029378495057213422,0.19397524274252428,0.05540288637220258,0.01457971429186467,0.12661431994058153
