,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
17,4d2YgepBRyYjr1EXM6slZq,Ascent,408lP4P33XEirDvYHxq8Ib,Art Hirahara,3mNi1VupZNPWagYvTgLYuQ,250869,2020-04-17,60,0.465,0.0604,2,-23.366999999999997,0,0.042,0.945,0.893,0.10800000000000001,0.0394,101.23,37i9dQZF1DWV7EzJMK2FUI,Jazz in the Background
18,4d2YgepBRyYjr1EXM6slZq,Ascent,408lP4P33XEirDvYHxq8Ib,Art Hirahara,3mNi1VupZNPWagYvTgLYuQ,250869,2020-04-17,60,0.465,0.0604,2,-23.366999999999997,0,0.042,0.945,0.893,0.10800000000000001,0.0394,101.23,37i9dQZF1DX3SiCzCxMDOH,Jazz for Study
19,53QNo32MLknNMvfO5u87DR,Naima,3y3000WyBJpDtIGHI5y4FG,Lo Greco Bros Quartet,1MkJ9Cw7FOgkzsbfJ9uRM6,279707,2021-07-26,46,0.364,0.501,10,-6.138,0,0.0349,0.7440000000000001,0.113,0.305,0.177,175.56400000000002,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
20,5wsvrblb3ooRyJQol7A2tN,Fatamorgana,6Uipo5JiSrwG7oeHHE1E3Q,Rasmus Holm Quartet,2pK0HHq3Rc7WHfjNelmvTD,272421,2021-06-18,46,0.387,0.161,6,-19.579,1,0.0378,0.9179999999999999,0.0506,0.126,0.113,120.384,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
21,5iSawMqnY9rgPkUHhSvyNT,Sideways,6WPu073KUfyLXE41VEW9Ik,Anders Mogensen,0nd4ki7GPhLrH5MjjdP7eP,291500,2021-07-23,46,0.405,0.128,0,-13.329,0,0.0344,0.8370000000000001,0.6559999999999999,0.233,0.0951,80.291,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
22,0NHnOig4DwclyoFDqPjCkh,Dave,1E4jlqY2HEXKLT0YkNy3HL,Orrin Evans,36Oiew8ljfc2W0ZUvLogOC,223453,2021-06-10,14,0.243,0.0652,1,-21.076,1,0.0354,0.9620000000000001,0.49700000000000005,0.115,0.0419,78.164,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
23,2yiISACbYnL2hApy1ffKKs,Misty - Remastered 2020,6C65D20ASusYqHGSIktfED,Erroll Garner,41sYqKPEygmvQrLXKpzWJU,167121,2020-04-17,57,0.327,0.145,5,-20.442999999999998,1,0.0397,0.945,0.884,0.091,0.136,178.96599999999998,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
24,45oMeeXLzWDPsLowRyrskL,Melancholia,3dz5vxw8WxPgcbD2HIVN5D,Claus Waidtløw,7j75kLY17tahXwnAydXhv6,230294,2021-03-05,0,0.364,0.10099999999999999,0,-18.305999999999997,0,0.035,0.977,0.631,0.11599999999999999,0.049,114.62799999999999,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
25,307eam60sGHG8ebiALVbY4,I Loves You Porgy,1dLXnfFWsftCVP7eNMg9bf,Svante Söderqvist,7vMsFgy8ztSVq7A6eET2L8,307146,2021-06-13,50,0.401,0.187,5,-16.796,1,0.0351,0.945,0.94,0.311,0.156,112.55,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
26,2R1vQwYTC0sl93C6oyVuHC,Simplicity,0FAC6FNPb4LsY5uyp0xTWF,Edward Simon,4GDYdHheKfIOBMjqOgTK6k,309586,2020-10-09,48,0.493,0.107,2,-22.122,1,0.0336,0.8809999999999999,0.9059999999999999,0.122,0.126,91.32600000000001,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
